kota,lokasi,luas_lahan,luas_bangunan,kamar_tidur,kamar_mandi,keamanan_24jam,taman_bermain_anak,harga
Jakarta Timur,"Jakarta Garden City                                        Cakung, Jakarta Timur",120,90,4,4,Ada,Ada,2200000000.0
Jakarta Selatan,"Senopati, Jakarta Selatan                                        Senayan, Jakarta Selatan",211,400,4,4,Tidak,Tidak,22000000000.0
Jakarta Selatan,"Jln.Kartika Utama                                        Pondok Indah, Jakarta Selatan",413,750,4,4,Tidak,Ada,15000000000.0
Jakarta Selatan,"Tanjung Barat, Jakarta Selatan",65,45,2,2,Ada,Tidak,365000000.0
Jakarta Selatan,"Pondok Indah, Jakarta Selatan",200,250,4,4,Tidak,Tidak,7000000000.0
Jakarta Timur,"duren sawit  Jakarta timur                                        Duren Sawit, Jakarta Timur",107,70,2,2,Tidak,Tidak,1450000000.0
Jakarta Timur,"Cibubur, Jakarta Timur",83,75,3,3,Tidak,Tidak,800000000.0
Jakarta Selatan,"Pondok Indah                                        Pondok Indah, Jakarta Selatan",408,800,7,7,Tidak,Tidak,24500000000.0
Jakarta Selatan,"Jalan Pinang Kuningan, Jakarta Selatan 12230, Indonesia                                        Pondok Indah, Jakarta Selatan",270,270,3,3,Ada,Ada,5500000000.0
Jakarta Barat,"Duri Kepa Kel., Kebon Jeruk, Jakarta, JABODETABEK, Indonesia                                        Kebon Jeruk, Jakarta Barat",67,130,4,4,Tidak,Tidak,1600000000.0
Jakarta Selatan,"Jl. Pabuaran Asri Cibinong - Aksesnya Tol. Jagorawi                                        Pasar Minggu, Jakarta Selatan",80,90,3,2,Tidak,Tidak,885000000.0
Jakarta Timur,"Rawamangun Muka III                                        Rawamangun, Jakarta Timur",150,120,3,3,Tidak,Tidak,3900000000.0
Jakarta Selatan,"Kebayoran Lama                                        Kebayoran Lama, Jakarta Selatan",60,75,3,2,Ada,Tidak,1102500000.0
Jakarta Selatan,"Jagakarsa, Jakarta Selatan",67,50,2,2,Ada,Ada,330000000.0
Jakarta Timur,"Bambu Apus, Jakarta Timur",83,75,3,2,Tidak,Tidak,900000000.0
Jakarta Timur,"Pulo Gebang, Jakarta Timur",90,72,3,1,Ada,Tidak,775000000.0
Jakarta Timur,"Perumahan Citra Gran Cibubur                                        Cibubur, Jakarta Timur",128,116,3,3,Ada,Tidak,1850000000.0
Jakarta Timur,"Jalan Kramat Duri Bambu Apus, Jakarta Timur 13890, Indonesia                                        Bambu Apus, Jakarta Timur",60,45,2,1,Ada,Ada,490000000.0
Jakarta Timur,"Cibubur, Jakarta Timur",106,36,2,2,Ada,Ada,300000000.0
Jakarta Selatan,"Lebak Bulus, Jakarta Selatan",164,36,2,2,Ada,Ada,300000000.0
Jakarta Selatan,"Cilandak Barat, Jakarta Selatan",65,45,2,2,Ada,Ada,300000000.0
Jakarta Selatan,"Pondok Pinang Centre Ruko A26 Jl Ciputat Raya RT01RW05 Kel, RT.10/RW.1, Pd. Pinang, Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12310, Indonesia                                        Pondok Pinang, Jakarta Selatan",88,110,3,3,Tidak,Tidak,2515000000.0
Jakarta Timur,"Cipinang Melayu, Jakarta Timur",220,250,4,2,Tidak,Tidak,3800000000.0
Jakarta Timur,"Cipinang, Jakarta Timur",120,110,3,2,Tidak,Tidak,1700000000.0
Jakarta Selatan,"SetiaBudi, Jakarta Selatan",176,350,5,4,Tidak,Tidak,13500000000.0
Jakarta Barat,"Kalideres, Jakarta Barat",96,103,4,3,Ada,Ada,1400000000.0
Jakarta Timur,"Ciracas, Jakarta Timur",68,68,3,2,Ada,Tidak,860000000.0
Jakarta Timur,"Jalan Radar Auri Cimanggis, Depok 16452, Indonesia                                        Cijantung, Jakarta Timur",68,68,3,2,Ada,Tidak,799000000.0
Jakarta Timur,"Ciracas, Jakarta Timur",68,68,3,2,Ada,Tidak,830000000.0
Jakarta Selatan,"Duren Sawit Jakarta timur                                        Tebet, Jakarta Selatan",92,145,4,4,Ada,Tidak,2300000000.0
Jakarta Timur,"Kranggan, Jatisampurna ( Cibubur )                                        Duren Sawit, Jakarta Timur",90,80,3,3,Ada,Tidak,1261000000.0
Jakarta Selatan,"Kranggan, Jatisampurna ( Cibubur )                                        Kebayoran Lama, Jakarta Selatan",90,80,3,3,Ada,Tidak,1261000000.0
Jakarta Selatan,"Kranggan, Jatisampurna ( Cibubur )                                        Pesanggrahan, Jakarta Selatan",90,80,3,3,Ada,Tidak,1261000000.0
Jakarta Pusat,"Kranggan, Jatisampurna ( Cibubur )                                        Senen, Jakarta Pusat",90,80,3,3,Ada,Tidak,1261000000.0
Jakarta Timur,"Jati Asih Kota Bekasi                                        Jatinegara, Jakarta Timur",60,37,2,2,Ada,Tidak,525000000.0
Jakarta Selatan,"Petogokan                                         Kebayoran Baru, Jakarta Selatan",240,300,4,4,Tidak,Tidak,16000000000.0
Jakarta Timur,"Jalan Trans Yogie, Bekasi Kota 17435, Indonesia                                        Cibubur, Jakarta Timur",300,250,5,5,Ada,Tidak,4500000000.0
Jakarta Timur,"Jalan Trans Yogie, Bekasi Kota 17435, Indonesia                                        Cibubur, Jakarta Timur",162,120,4,4,Ada,Tidak,1850000000.0
Jakarta Timur,"Jalan Trans Yogie, Bekasi Kota 17435, Indonesia                                        Cibubur, Jakarta Timur",128,150,3,3,Ada,Tidak,1650000000.0
Jakarta Selatan,"Jagakarsa, Jakarta Selatan",60,68,3,2,Ada,Tidak,799000000.0
Jakarta Timur,"Condet, Jakarta Timur",68,68,3,2,Ada,Tidak,799000000.0
Jakarta Timur,"Condet, Jakarta Timur",68,68,3,2,Ada,Tidak,799000000.0
Jakarta Selatan,"Jalan Cikatomas 1, Jakarta Selatan 12180, Indonesia                                        Kebon Baru, Jakarta Selatan",208,203,4,4,Tidak,Tidak,14500000000.0
Jakarta Timur,"Ciracas, Jakarta Timur",60,68,3,2,Ada,Tidak,799000000.0
Jakarta Timur,"Ciracas, Jakarta Timur",68,68,3,2,Ada,Tidak,799000000.0
Jakarta Selatan,"Jagakarsa, Jakarta Selatan",68,68,3,2,Ada,Tidak,799000000.0
